,Run 1: Time (s),Run 1: Flow Rate (L/s),Run 1: Volume (L),Run 2: Time (s),Run 2: Flow Rate (L/s),Run 2: Volume (L),Run 3: Time (s),Run 3: Flow Rate (L/s),Run 3: Volume (L)
26,0.433342,-0.0101165773958,0.0401447705358,0.433342,0.00773620624386,-0.00191921262475,0.433342,0.135086491937,-0.00786052704281
27,0.450009,-0.0101165773958,0.0403133835313,0.450009,0.00773620624386,-0.00204815197422,0.450009,0.164246038548,-0.0103550146856
28,0.466676,-0.0392761240073,0.0407249976084,0.466676,0.00773620624386,-0.00217709132368,0.466676,0.173767523156,-0.0131718507021
29,0.483343,-0.0487976086151,0.0414589600592,0.483343,0.0172576908517,-0.00238537796513,0.483343,0.212448554375,-0.0163903823842
30,0.50001,-0.0975952172303,0.0426789246734,0.50001,-0.00238037115196,-0.00250935810885,0.50001,0.232086616379,-0.0200949162296
31,0.516677,-0.145797733057,0.0447072398246,0.516677,-0.00238037115196,-0.00246968446286,0.516677,0.212448554375,-0.0237994500751
32,0.533344,-0.194000248885,0.0475389463071,0.533344,0.00773620624386,-0.0025143173146,0.533344,0.173767523156,-0.0270179817572
33,0.550011,-0.223159795496,0.051015349537,0.550011,0.00773620624386,-0.00264325666406,0.550011,0.202927069768,-0.0301571661474
34,0.566678,-0.271957404111,0.0551414087199,0.566678,-0.00238037115196,-0.0026878895158,0.566678,0.251129585595,-0.0339410472848
35,0.583345,-0.300521857935,0.0599121646502,0.583345,0.00773620624386,-0.00273252236754,0.583345,0.260651070203,-0.0382059713799
36,0.600012,-0.358840951158,0.0654069646197,0.600012,0.00773620624386,-0.00286146171701,0.600012,0.232086616379,-0.0423122008911
37,0.616679,-0.378479013161,0.0715514205424,0.616679,0.00773620624386,-0.00299040106647,0.616679,0.173767523156,-0.0456943863629
38,0.633346,-0.397521982377,0.0780182248387,0.633346,-0.00238037115196,-0.00303503391821,0.633346,0.135086491937,-0.0482682212976
39,0.650013,-0.426681528988,0.0848867248007,0.650013,-0.00238037115196,-0.00299536027222,0.650013,0.0862888833217,-0.0501130529874
40,0.66668,-0.436203013596,0.0920775731363,0.66668,-0.00238037115196,-0.00295568662623,0.66668,0.0476078521024,-0.051228881432
41,0.683347,-0.465362560208,0.0995907698456,0.683347,-0.00238037115196,-0.00291601298024,0.683347,0.0184483054909,-0.0517793604213
42,0.700014,-0.465362560208,0.107346967637,0.700014,-0.0119018557598,-0.00279699204227,0.700014,-0.0202327257284,-0.0517644899553
43,0.716681,-0.474884044816,0.11518251272,0.716681,-0.0119018557598,-0.00259862381232,0.716681,-0.0392756949441,-0.0512685765316
44,0.733348,-0.485000622211,0.123181711592,0.733348,-0.0119018557598,-0.00240025558238,0.733348,-0.0589137569477,-0.0504503147343
45,0.750015,-0.485000622211,0.131265216963,0.750015,-0.0214233403676,-0.00212254006045,0.750015,-0.136275819386,-0.0488237023999
46,0.766682,-0.504043591427,0.139507416917,0.766682,-0.0315399177634,-0.00168117074881,0.766682,-0.233275943829,-0.0457440427811
