,x,y
641,11.068507280100103,0.15622168662443642
642,11.08293400227892,0.14623728862054108
643,11.097429683148318,0.13648590182640785
644,11.112589619163273,0.12897903118761506
645,11.128620686398367,0.12441571034303817
646,11.144995139767762,0.12101269022193922
647,11.160934731189224,0.11614027287598683
648,11.176370501969336,0.10956544708583082
649,11.191621913797922,0.10236767294841365
650,11.206735408245349,0.09470387639147293
651,11.221781351323626,0.08681182395969167
652,11.237308597917368,0.08054609467091123
653,11.253957478733325,0.07807036407311585
654,11.27152252501268,0.07869035384317513
655,11.288927136787827,0.07876823590209692
656,11.30539306597369,0.07567431229196198
657,11.320965346816367,0.06956075359599756
658,11.335987365447325,0.06158786052809295
659,11.35100938408112,0.05361496746977673
660,11.366673140737428,0.04781050527518749
661,11.383620373438752,0.04634290480805425
662,11.401942558001567,0.049521262579339476
663,11.421089432216984,0.05548624422669224
664,11.440396740936608,0.06199333358518333
665,11.459452139338397,0.06764921873116103
666,11.478140227158562,0.07206396251753744
667,11.496050066896492,0.07384900835558361
668,11.51309018273288,0.07269525972474666
669,11.529809429558012,0.07045729566204573
670,11.546482234815613,0.06806240568119637
671,11.56276521237138,0.0643502890587217
672,11.57822350027454,0.05785154856017871
673,11.592581263759941,0.04763413933693267
674,11.6058624272749,0.03377890202510625
675,11.618824129097193,0.018844204606748072
676,11.632129217056633,0.005069807921455727
677,11.645594739520279,-0.008162481052698789
678,11.65924321361402,-0.020776577014513298
679,11.673852887420098,-0.03014278201565801
680,11.689516644076404,-0.03594724421024642
681,11.705478752620914,-0.04074357626458491
682,11.721143916595816,-0.04654328313384182
683,11.736029425167049,-0.05497744328634979
684,11.75008883676708,-0.06620298264025748
685,11.763690869293294,-0.07897400452022041
686,11.777361860510084,-0.09151201519042107
687,11.791926500070058,-0.10103039077479292
688,11.807888608611734,-0.10582672283872041
689,11.824744365499432,-0.1076034198072292
690,11.841394653633985,-0.11007439507969241
691,11.857059817611722,-0.11587410193936054
692,11.872129685131641,-0.123685313754196
693,11.887587973034805,-0.1301840542527386
694,11.90375555033246,-0.1342861080031238
695,11.920885734663885,-0.13513551545791758
696,11.939299395040324,-0.13164806118525618
697,11.958767138266998,-0.12459886410603949
698,11.9786697434416,-0.11608026980196928
699,11.998044603533213,-0.1093449245590492
700,12.016021994640289,-0.10733162284616193
701,12.032258530628527,-0.11120066538678497
702,12.047211590571743,-0.11940656965486307
703,12.06182126437782,-0.12877277465600767
704,12.07670677294905,-0.1372069348085152
705,12.092234019545629,-0.1434726640877071
706,12.108630990038074,-0.14679959891719274
707,12.125578222739401,-0.14826719938432698
708,12.142388945381,-0.15019606693606313
709,12.15961201284748,-0.1507316225545604
710,12.178232549295661,-0.14654513465261376
711,12.197517340895073,-0.14011413057614774
712,12.216619180861557,-0.13430131952161106
713,12.23601796539765,-0.12748513365215608
714,12.255805170314147,-0.11935647647599645
715,12.274928120085082,-0.1134723354551781
716,12.292196221797662,-0.1138557204904479
717,12.307081730368893,-0.12228988064295543
718,12.320614804204526,-0.13529391373268107
719,12.334078919346743,-0.1485309580417563
720,12.348046855133145,-0.16006559389703923
721,12.362863405010957,-0.16873276526889758
722,12.378413168730585,-0.17492240925647573
723,12.393985449570426,-0.18103596796202848
724,12.408688006514401,-0.19008832111728802
725,12.422610908051867,-0.20177512756538696
726,12.436625285402961,-0.21315283751211078
727,12.45118992496294,-0.2226712130964822
728,12.466372378100942,-0.23010199844366108
729,12.482746831470338,-0.23350501856476003
730,12.500518753827109,-0.23218599514623794
731,12.518863455512971,-0.22893155208333893
732,12.536933729755107,-0.22660439853415448
733,12.554041396960642,-0.22752989129015122
734,12.569430726173223,-0.23426164299845564
735,12.583010241576389,-0.24710875017003198
736,12.596108453461248,-0.2615821804941988
737,12.6109250033419,-0.2702493518564685
738,12.629773525669112,-0.26529250034936536
739,12.652288117182692,-0.24794801199756944
740,12.676315577938919,-0.22549154298783036
741,12.70059494901866,-0.20218386974640046
742,12.72430154076363,-0.18081161616852526
