"Run 1: Time (s)","Run 1: Flow Rate (L/s)","Run 1: Volume (L)","Run 2: Time (s)","Run 2: Flow Rate (L/s)","Run 2: Volume (L)"
0.550011,-0.223159795496,0.051015349537,0.550011,0.00773620624386,-0.00264325666406
0.566678,-0.271957404111,0.0551414087199,0.566678,-0.00238037115196,-0.0026878895158
0.583345,-0.300521857935,0.0599121646502,0.583345,0.00773620624386,-0.00273252236754
0.600012,-0.358840951158,0.0654069646197,0.600012,0.00773620624386,-0.002861461717
0.616679,-0.378479013161,0.0715514205424,0.616679,0.00773620624386,-0.00299040106647
0.633346,-0.397521982377,0.0780182248387,0.633346,-0.00238037115196,-0.00303503391821
0.650013,-0.426681528988,0.0848867248007,0.650013,-0.00238037115196,-0.00299536027222
0.66668,-0.436203013596,0.0920775731363,0.66668,-0.00238037115196,-0.00295568662623
0.683347,-0.465362560208,0.0995907698456,0.683347,-0.00238037115196,-0.00291601298024
0.700014,-0.465362560208,0.107346967637,0.700014,-0.0119018557598,-0.00279699204227
0.716681,-0.474884044816,0.11518251272,0.716681,-0.0119018557598,-0.00259862381232
0.733348,-0.485000622211,0.123181711592,0.733348,-0.0119018557598,-0.00240025558237
0.750015,-0.485000622211,0.131265216963,0.750015,-0.0214233403676,-0.00212254006045
0.766682,-0.504043591427,0.139507416917,0.766682,-0.0315399177634,-0.00168117074881
0.783349,-0.485000622211,0.147749616871,0.783349,-0.0410614023713,-0.00107614764747
0.800016,-0.474884044816,0.155748815744,0.800016,-0.0410614023713,-0.000391777254146
0.816683,-0.465362560208,0.163584360827,0.816683,-0.0505828869791,0.000371940431155
0.83335,-0.465362560208,0.171340558618,0.83335,-0.0505828869791,0.00121500540844
0.850017,-0.465362560208,0.179096756409,0.850017,-0.0601043715869,0.0021374176777
0.866684,-0.465362560208,0.1868529542,0.866684,-0.0601043715869,0.00313917723893
0.883351,-0.4558410756,0.194529804699,0.883351,-0.0505828869791,0.00406158950819
0.900018,-0.4558410756,0.202127307906,0.900018,-0.0505828869791,0.00490465448548
0.916685,-0.426681528988,0.209481810031,0.916685,-0.0505828869791,0.00574771946276
0.933352,-0.436203013596,0.216672658367,0.933352,-0.0505828869791,0.00659078444004
0.950019,-0.426681528988,0.223863506703,0.950019,-0.0505828869791,0.00743384941732
0.966686,-0.417160044381,0.230895660454,0.966686,-0.0505828869791,0.0082769143946
0.983353,-0.417160044381,0.237848466914,0.983353,-0.0410614023713,0.0090406320799
1.00002,-0.407043466985,0.244716966876,1.00002,-0.0410614023713,0.00972500247322
1.016687,-0.417160044381,0.251585466838,1.016687,-0.0214233403676,0.0102457190768
1.033354,-0.397521982377,0.258374619508,1.033354,-0.0214233403676,0.0106027818907
1.050021,-0.397521982377,0.265000118388,1.050021,-0.0315399177634,0.0110441512024
1.066688,-0.388000497769,0.271546269976,1.066688,-0.0214233403676,0.011485520514
1.083355,-0.397521982377,0.278092421565,1.083355,-0.0315399177634,0.0119268898256
1.100022,-0.407043466985,0.284797267737,1.100022,-0.0214233403676,0.0123682591373
1.116689,-0.397521982377,0.291502113909,1.116689,-0.0315399177634,0.0128096284489
1.133356,-0.388000497769,0.298048265497,1.133356,-0.0315399177634,0.0133353042583
1.150023,-0.388000497769,0.304515069794,1.150023,-0.0315399177634,0.0138609800676
1.16669,-0.378479013161,0.310902526798,1.16669,-0.0505828869791,0.014545350461
1.183357,-0.378479013161,0.31721063651,1.183357,-0.0505828869791,0.0153884154382
1.200024,-0.358840951158,0.323355092433,1.200024,-0.0505828869791,0.0162314804155
